Title,SJR,H index,IPP,SNIP,Total Docs. (2003),Total Docs. (3years),Total Refs.,Est. value (USD) (2003),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Sarcoidosis Vasculitis and Diffuse Lung Diseases,1.313,66,2.82142857142857,1.12185287930477,36,113,1245,561321.0,274,0.2518248175182482,0.3008849557522124,94,2.76,34.58,29,Mattioli 1885
Statistics in Medicine,1.313,229,1.39328859060403,1.19492203491286,264,810,5812,4713311.0,1204,0.1362126245847176,0.445679012345679,765,1.14,22.02,44,John Wiley and Sons Ltd
Bulletin de la Societe Mathematique de France,1.312,34,0.621212121212121,0.869190783198622,24,66,394,396182.0,43,0.0232558139534883,0.5909090909090909,66,0.65,16.42,29,Societe Mathematique de France
Critical Reviews in Oral Biology and Medicine,1.312,117,3.52173913043478,1.59595014473594,38,99,4469,574901.0,371,0.0404312668463611,0.1717171717171717,92,2.95,117.61,15,International and American Associations for Dental Research
Tetrahedron Letters,1.312,186,2.27938999111638,0.976084491376978,2091,6756,52456,40397261.0,16344,0.1258565834557024,0.2112196566015393,6754,2.48,25.09,67,Elsevier Ltd
Exceptional Children,1.311,107,1.94871794871795,2.24819248056082,28,93,1090,566112.0,187,0.106951871657754,0.2258064516129032,93,1.69,38.93,68,SAGE Publications Inc.
Plasma Sources Science and Technology,1.31,128,1.78838174273859,1.51934388137885,90,244,2453,1411162.0,466,0.1266094420600858,0.3442622950819672,241,1.86,27.26,34,IOP Publishing Ltd.
Teaching and Teacher Education,1.31,170,1.12280701754386,1.722101427939,55,180,2080,971693.0,232,0.2068965517241379,0.4,171,1.03,37.82,41,Elsevier Ltd
Current Opinion in Nephrology and Hypertension,1.308,109,3.44583333333333,1.01392451586877,92,301,4169,1590900.0,996,0.0180722891566265,0.2823920265780731,277,3.74,45.32,34,Lippincott Williams and Wilkins
Histochemistry and Cell Biology,1.308,117,2.40289855072464,0.72344151575623,106,351,4418,1924973.0,904,0.1460176991150442,0.2393162393162393,347,2.65,41.68,31,Springer Science and Business Media Deutschland GmbH
Clinical Neurophysiology,1.307,230,2.67557251908397,1.37880448907435,270,822,11476,3607009.0,2488,0.1563504823151125,0.2201946472019464,796,2.95,42.5,27,Elsevier Ireland Ltd
Communications in Contemporary Mathematics,1.306,52,0.679012345679012,0.94983663567684,35,81,811,410296.0,60,0.05,0.6172839506172839,81,0.56,23.17,27,World Scientific
Economic Geology,1.306,150,1.51890034364261,1.50912316347031,94,309,6232,1666389.0,479,0.2755741127348643,0.3754045307443365,293,1.39,66.3,120,"Society of Economic Geologists, Inc"
Journal of Veterinary Internal Medicine,1.306,130,1.78801843317972,1.76720079858971,131,293,4390,1734365.0,614,0.0863192182410423,0.2901023890784983,269,1.9,33.51,39,Wiley-Blackwell
Neuropsychology,1.306,150,2.55555555555556,1.16344107188519,69,168,3782,1075405.0,450,0.0666666666666666,0.2202380952380952,165,2.24,54.81,35,American Psychological Association
Engineering Analysis with Boundary Elements,1.305,86,0.95397489539749,1.04359940562264,90,244,2086,1418955.0,269,0.1895910780669145,0.4467213114754098,239,1.12,23.18,37,Elsevier Ltd
Microbial Drug Resistance,1.303,79,2.59124087591241,1.00967715753167,60,138,1535,853899.0,389,0.0745501285347043,0.1231884057971014,138,2.63,25.58,31,Mary Ann Liebert Inc.
Natural Language and Linguistic Theory,1.303,69,0.944444444444444,4.39090037696365,18,36,1109,245400.0,42,0.0952380952380952,0.4166666666666667,36,1.33,61.61,42,Springer Netherlands
Pacific Journal of Mathematics,1.303,57,0.493472584856397,0.935636829228262,104,383,1668,2018318.0,195,0.0564102564102564,0.6579634464751958,383,0.48,16.04,75,Mathematical Sciences Publishers
Computers and Structures,1.302,168,0.844875346260388,1.2113147148528,231,731,5147,3820004.0,811,0.1146732429099876,0.4965800273597811,726,0.97,22.28,55,Elsevier Ltd
Prostaglandins and Other Lipid Mediators,1.302,89,2.45355191256831,0.728642159339975,41,187,2066,904055.0,497,0.0321931589537223,0.2459893048128342,183,2.81,50.39,29,Elsevier Inc.
Seminars in Hematology,1.302,104,3.73140495867769,1.39764276753042,77,283,3502,1599041.0,1092,0.0073260073260073,0.2084805653710247,264,3.92,45.48,62,W.B. Saunders
Journal of Neuroendocrinology,1.301,130,3.1984126984127,0.965044080126071,151,402,6869,2287356.0,1314,0.1012176560121765,0.1791044776119403,389,3.45,45.49,37,Wiley-Blackwell Publishing Ltd
Combustion Theory and Modelling,1.3,70,0.989690721649485,1.25628272048323,41,105,1122,655072.0,123,0.2276422764227642,0.4095238095238095,104,1.08,27.37,29,Taylor and Francis Ltd.
Developmental Science,1.299,156,1.52631578947368,0.989045845102785,71,145,2310,821798.0,223,0.0896860986547085,0.4206896551724138,115,1.31,32.54,28,Wiley-Blackwell Publishing Ltd
ACI Structural Journal,1.298,142,0.731563421828909,1.95893504869619,99,382,1505,1951130.0,337,0.1097922848664688,0.56282722513089,339,0.69,15.2,39,American Concrete Institute
Cornea,1.298,141,1.89071038251366,1.32264872342346,181,602,3874,3078469.0,1150,0.1191304347826087,0.3637873754152824,560,1.67,21.4,44,Lippincott Williams and Wilkins
Journal of Immunological Methods,1.298,151,2.73846153846154,1.01048483145165,258,733,7515,4141082.0,2245,0.0610244988864142,0.2319236016371077,721,2.95,29.13,55,Elsevier B.V.
Fungal Genetics and Biology,1.297,129,2.95555555555556,1.11690032271305,87,185,4291,1221077.0,643,0.1461897356143079,0.2216216216216216,181,2.93,49.32,30,Academic Press Inc.
IEEE Transactions on Energy Conversion,1.297,207,0.953703703703704,1.93253037853971,73,223,1598,1764799.0,359,0.0891364902506963,0.4260089686098655,219,1.57,21.89,40,Institute of Electrical and Electronics Engineers Inc.
