Title,SJR,H index,IPP,SNIP,Total Docs. (2013),Total Docs. (3years),Total Refs.,Est. value (USD) (2013),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Journal of Management,8.154,296,8.26857142857143,5.13796450572353,70,186,6973,1454447.0,1968,0.0386178861788617,0.0591397849462365,173,9.16,99.61,51,SAGE Publications Inc.
Cell Host and Microbe,8.148,255,12.2757475083056,2.48370388164432,160,426,6824,3511150.0,4464,0.0237455197132616,0.1619718309859155,404,9.82,42.65,19,Cell Press
Cell Reports,8.099,246,6.75619834710744,1.68016944608754,480,241,21152,2350152.0,1833,0.0240043644298963,0.0414937759336099,240,7.61,44.07,14,Elsevier B.V.
Annual Review of Medicine,8.042,182,15.2040816326531,4.57231670043628,34,98,2441,795897.0,1767,0.0016977928692699,0.0204081632653061,98,18.34,71.79,75,Annual Reviews Inc.
Ecology Letters,8.037,330,10.9846827133479,3.47238125901858,184,463,10126,3888433.0,5725,0.034235807860262,0.0043196544276457,457,11.5,55.03,28,Wiley-Blackwell Publishing Ltd
Quarterly Reviews of Biophysics,8.035,111,11.2777777777778,3.40094861559429,6,36,1228,264801.0,465,0.0021505376344086,0.0555555555555555,36,11.21,204.67,57,Cambridge University Press
American Journal of Human Genetics,7.863,339,10.9006968641115,3.00330589222832,229,658,8180,5140959.0,7263,0.0333195649180779,0.1185410334346504,568,10.52,35.72,76,Cell Press
Annals of Mathematics,7.841,145,3.23107569721116,4.61776646477799,48,251,1691,1756597.0,915,0.0087431693989071,0.1832669322709163,251,3.3,35.23,30,Department of Mathematics at Princeton University
Astronomy and Astrophysics Review,7.792,84,12.6296296296296,3.9667054275974,22,28,3163,282032.0,368,0.0081521739130434,0.0714285714285714,27,10.71,143.77,35,Springer Verlag
Journal of the Royal Statistical Society. Series B: Statistical Methodology,7.737,159,6.38202247191011,4.95333732385492,35,92,1356,812424.0,664,0.0210843373493975,0.1521739130434782,89,6.58,38.74,29,Oxford University Press
